Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
Wood,1,0,8712500.0,33.888971999999995,-118.412712,4269.0,142 - Manhattan Bch Sand,Los Angeles,1,4.0,2004.0,6,Manhattan Beach,5,1,,3,2,0,4.0,Manhattan Unified,0.0,2703.0,2026-05
,0,0,1100000.0,32.66349256,-117.04939658,1958.0,91902 - Bonita,San Diego,0,4.0,1956.0,3,Bonita,4,0,1,1,,0,0.0,,,47541.0,2026-05
"Laminate,Vinyl",0,0,1625000.0,33.852827000000005,-118.381422,1138.0,155 - S Redondo Bch N of Torrance Bl,Los Angeles,0,1.0,1951.0,1,Redondo Beach,3,0,1,1,3,0,1.0,Redondo Unified,0.0,5756.0,2026-05
,0,1,1560000.0,34.148818,-118.357279,1904.0,699 - Not Defined,Los Angeles,0,2.0,1936.0,2,North Hollywood,2,1,1,1,2,0,2.0,Los Angeles Unified,0.0,8233.0,2026-05
Vinyl,0,0,605000.0,38.0429079,-120.25113516,2112.0,,Tuolumne,1,2.0,1985.0,4,Twain Harte,3,1,2,2,,0,2.0,,,14971.0,2026-05
"Tile,Wood",1,0,377500.0,38.02745804,-120.24194122,850.0,,Tuolumne,0,0.0,1954.0,1,Twain Harte,2,1,1,1,,0,0.0,,,4791.0,2026-05
,0,0,400000.0,37.933651,-121.28936000000002,1870.0,,San Joaquin,0,0.0,1926.0,2,Stockton,3,0,1,1,1,0,0.0,See Remarks,0.0,7778.0,2026-05
,0,0,595000.0,33.924971,-118.009271,1198.0,M3 - La Mirada,Los Angeles,1,2.0,1958.0,2,La Mirada,3,1,1,1,3,0,2.0,Le Grand Union,0.0,14920.0,2026-05
,0,0,595000.0,37.78116970000001,-121.25684341,1845.0,699 - Not Defined,San Joaquin,1,2.0,2002.0,2,Manteca,3,0,,0,,0,2.0,Manteca Unified,,7569.0,2026-05
,0,0,2400000.0,34.175084000000005,-118.402701,2234.0,VVL - Valley Village,Los Angeles,0,0.0,1952.0,3,Valley Village,2,0,1,1,2,0,0.0,Los Angeles Unified,0.0,19207.0,2026-05
,0,0,260000.0,37.95973942,-121.24421808,1040.0,699 - Not Defined,San Joaquin,1,1.0,1969.0,2,Stockton,3,0,,0,,0,1.0,Other,,5917.0,2026-05
"Carpet,Tile,Wood",0,0,379900.0,37.99418843,-120.26443874,1460.0,,Tuolumne,1,2.0,1977.0,2,Soulsbyville,3,1,2,2,,0,2.0,Sonora Union,59.0,17954.0,2026-05
Tile,1,0,775000.0,37.0017094,-121.91156116,720.0,699 - Not Defined,Santa Cruz,0,6.0,1949.0,1,Aptos,2,1,,0,,0,0.0,Other,,38289.0,2026-05
Vinyl,0,0,240000.0,37.96082308,-120.23542091,754.0,,Tuolumne,0,0.0,1905.0,1,Tuolumne,2,1,1,1,,0,0.0,Tuolumne,,5879.0,2026-05
Wood,0,0,1890000.0,33.899905,-118.399248,1716.0,143 - Manhattan Bch Tree,Los Angeles,0,1.0,1921.0,2,Manhattan Beach,3,0,1,1,3,0,1.0,Manhattan Unified,0.0,4595.0,2026-05
Laminate,0,0,351000.0,38.02048678,-120.27315448,1416.0,,Tuolumne,1,2.0,1977.0,2,Sonora,3,1,2,2,,0,2.0,,,16586.0,2026-05
,1,0,4550000.0,34.039666,-118.69558,3193.0,C33 - Malibu,Los Angeles,0,0.0,1975.0,4,Malibu,4,0,1,1,,0,,,,19337.0,2026-05
"Carpet,Tile,Vinyl",0,0,633400.0,38.03741122,-120.42021432,2600.0,,Tuolumne,1,2.0,1976.0,3,Columbia,2,1,1,1,,0,2.0,,,218236.0,2026-05
"Carpet,Laminate,Tile",0,0,1100000.0,37.39440801,-121.88091616,880.0,699 - Not Defined,Santa Clara,1,2.0,1973.0,1,San Jose,2,1,,0,,0,2.0,Other,,6000.0,2026-05
