Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
"Carpet,Tile",1,1,2700000.0,33.65115,-116.244673,4154.0,313 - La Quinta South of HWY 111,Riverside,1,2.0,2018.0,5,La Quinta,4,1,1,1,,0,2.0,,590.0,20909.0,2025-04
"Carpet,Stone,Tile",1,1,3250000.0,33.057843,-117.182771,3104.0,92091 - Rancho Santa Fe,San Diego,1,2.0,2004.0,4,Rancho Santa Fe,3,1,2,2,1,0,2.0,San Dieguito Union,1168.0,20251.0,2025-04
,1,0,1275000.0,34.155882,-118.451233,1265.0,SO - Sherman Oaks,Los Angeles,0,1.0,1951.0,2,Sherman Oaks,2,1,1,1,2,0,1.0,Los Angeles Unified,0.0,6752.0,2025-04
,0,1,1701000.0,32.85057153,-117.18751171,3070.0,92122 - University City,San Diego,1,3.0,1984.0,3,San Diego,4,1,1,2,1,0,3.0,San Diego Unified,0.0,8747.0,2025-04
Wood,1,0,1750000.0,33.41874,-117.588871,3025.0,SE - San Clemente Southeast,Orange,1,8.0,1977.0,3,San Clemente,3,1,2,2,2,0,3.0,Capistrano Unified,0.0,18000.0,2025-04
,0,0,630000.0,33.64361895,-117.30844689,2058.0,SRCAR - Southwest Riverside County,Riverside,1,4.0,2020.0,4,Lake Elsinore,4,0,2,2,,0,2.0,,122.0,,2025-04
,1,1,1401000.0,34.208889,-118.650262,3857.0,WEH - West Hills,Los Angeles,1,3.0,1988.0,5,West Hills,5,1,2,2,1,0,3.0,Los Angeles Unified,228.0,10977.0,2025-04
,1,0,2283000.0,33.100689,-117.223779,3517.0,92009 - Carlsbad,San Diego,1,4.0,2014.0,3,Carlsbad,4,1,2,2,1,0,2.0,San Dieguito Union,297.0,5771.0,2025-04
Wood,0,0,3090000.0,37.4948275,-122.25082175,1940.0,699 - Not Defined,San Mateo,1,2.0,1947.0,3,San Carlos,4,0,,0,,0,2.0,Other,,6600.0,2025-04
"Carpet,Wood",0,0,3550000.0,37.20137681,-121.85582665,3473.0,699 - Not Defined,Santa Clara,1,3.0,1998.0,4,San Jose,4,1,,0,,0,3.0,San Jose Unified,,24527.0,2025-04
,0,0,1050000.0,37.3004947,-121.81208123,1355.0,699 - Not Defined,Santa Clara,1,2.0,1974.0,2,San Jose,3,1,,0,,0,2.0,Other,,6000.0,2025-04
"Carpet,Laminate",1,0,1950000.0,33.557901,-117.6351,2907.0,LD - Ladera Ranch,Orange,1,2.5,2001.0,3,Ladera Ranch,5,1,2,2,1,0,2.5,Capistrano Unified,219.0,5628.0,2025-04
"Carpet,Wood",1,1,725000.0,32.79527559,-116.99007476,1326.0,92020 - El Cajon,San Diego,0,6.0,1953.0,2,El Cajon,4,0,1,1,,0,2.0,,,11300.0,2025-04
,0,0,440000.0,34.069478000000004,-117.186436,891.0,268 - Redlands,San Bernardino,0,2.0,1929.0,1,Redlands,2,1,1,1,2,0,2.0,Redlands Unified,0.0,7560.0,2025-04
"Tile,Wood",0,0,2400000.0,37.8233104,-122.25182906,3556.0,,Alameda,1,4.0,1909.0,6,Oakland,6,1,2,2,,0,4.0,Oakland,,6800.0,2025-04
,0,0,3002800.0,33.741051,-117.735899,2872.0,OH - Orchard Hills,Orange,1,2.0,2024.0,4,Irvine,5,0,2,2,1,0,2.0,Irvine Unified,345.0,3870.0,2025-04
,0,0,3700000.0,37.55312033,-122.33648004,2440.0,699 - Not Defined,San Mateo,1,2.0,1950.0,3,San Mateo,3,1,,0,,0,2.0,Other,,8340.0,2025-04
,1,0,1150000.0,34.123123,-118.170365,1804.0,632 - Highland Park,Los Angeles,1,2.0,1961.0,3,Los Angeles,4,1,1,1,4,0,2.0,Los Angeles Unified,0.0,6002.0,2025-04
,1,1,760000.0,34.266029,-118.40608600000002,1314.0,PAC - Pacoima,Los Angeles,0,2.0,1965.0,2,Pacoima,3,1,1,1,3,0,0.0,Los Angeles Unified,0.0,7731.0,2025-04
,1,0,3933500.0,33.639996999999994,-117.812359,3274.0,TR - Turtle Rock,Orange,1,3.0,1985.0,3,Irvine,4,1,2,2,1,0,3.0,Irvine Unified,438.0,8400.0,2025-04
,0,0,1680000.0,32.91476349,-117.08842823,3058.0,92131 - Scripps Miramar,San Diego,1,6.0,1983.0,3,San Diego,4,0,2,2,,0,3.0,,,,2025-04
,1,0,592000.0,37.12541336,-122.13018202,768.0,699 - Not Defined,Santa Cruz,0,0.0,1963.0,1,Boulder Creek,2,1,,0,,0,0.0,Other,,7100.0,2025-04
"Carpet,Tile",1,0,355000.0,33.659368,-116.312081,1434.0,313 - La Quinta South of HWY 111,Riverside,1,2.0,1990.0,2,La Quinta,3,1,,0,,0,2.0,,,4792.0,2025-04
