Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
,0,0,750000.0,33.20431063,-117.2337145,1808.0,92084 - Vista,San Diego,1,4.0,1962.0,2,Vista,3,0,1,1,,0,2.0,,,11900.0,2026-04
,1,0,1300000.0,33.791464000000005,-118.12785900000002,1438.0,"34 - Los Altos, X-100",Los Angeles,0,2.0,1947.0,2,Long Beach,3,1,1,1,3,0,2.0,Long Beach Unified,0.0,7080.0,2026-04
,1,0,528000.0,34.029727,-117.738098,936.0,687 - Pomona,Los Angeles,1,2.0,1954.0,1,Pomona,3,0,1,1,3,0,2.0,Pomona Unified,0.0,6383.0,2026-04
,1,0,1225000.0,33.972375,-118.381726,1686.0,C29 - Westchester,Los Angeles,1,2.0,1954.0,2,Westchester,4,1,1,1,4,0,2.0,Los Angeles Unified,0.0,6945.0,2026-04
,1,0,750000.0,34.041255,-117.693101,1900.0,681 - Chino,San Bernardino,1,2.0,1966.0,2,Chino,3,1,1,1,3,0,2.0,Chino Valley Unified,0.0,42000.0,2026-04
Carpet,1,0,410000.0,34.080644,-117.175245,1228.0,268 - Redlands,San Bernardino,1,2.0,1955.0,2,Redlands,4,1,1,1,4,0,2.0,Redlands Unified,0.0,6800.0,2026-04
,1,1,2000000.0,33.761224,-118.404985,3247.0,171 - Country Club,Los Angeles,1,6.0,1969.0,3,Rancho Palos Verdes,4,1,1,1,4,0,3.0,Palos Verdes Peninsula Unified,0.0,12026.0,2026-04
,0,0,2795000.0,36.49030743,-121.72529178,1730.0,699 - Not Defined,Monterey,0,2.0,1952.0,2,Carmel Valley,2,1,,0,,0,2.0,Carmel Unified,,101930.0,2026-04
"Tile,Wood",0,0,2500000.0,33.96563,-118.411725,2259.0,C29 - Westchester,Los Angeles,0,2.0,1946.0,4,Los Angeles,4,0,1,1,,0,,,34.0,6003.0,2026-04
"Carpet,Tile,Wood",0,1,4500000.0,34.152936,-118.478647,4676.0,ENC - Encino,Los Angeles,0,0.0,1949.0,5,Encino,4,1,1,1,,0,,Los Angeles Unified,,34017.0,2026-04
,0,0,1639900.0,37.57155753,-122.30303993,1280.0,699 - Not Defined,San Mateo,1,1.0,1949.0,2,San Mateo,4,0,,0,,0,1.0,Other,,6050.0,2026-04
,1,0,1619000.0,34.088558,-118.201304,1989.0,679 - Montecito Heights,Los Angeles,1,2.0,1958.0,2,Los Angeles,3,1,1,1,,0,2.0,,,5500.0,2026-04
,0,1,1175000.0,33.796652,-117.973019,1586.0,"62 - Garden Grove N of Chapman, W of Euclid",Orange,1,4.0,1955.0,3,Garden Grove,3,1,1,1,3,0,2.0,Garden Grove Unified,0.0,15400.0,2026-04
"Tile,Wood",1,0,7600000.0,34.146516,-118.359571,7868.0,TUL - Toluca Lake,Los Angeles,1,3.0,1935.0,10,Toluca Lake,9,1,2,2,,0,3.0,,1000.0,22296.0,2026-04
Wood,1,0,3795000.0,33.834053000000004,-118.378147,4864.0,156 - S Redondo Bch S of Torrance Bl,Los Angeles,1,4.0,2002.0,6,Redondo Beach,6,1,2,2,1,0,4.0,Redondo Unified,0.0,11990.0,2026-04
,0,0,1407000.0,32.80831889,-117.05539239,2336.0,92120 - Del Cerro,San Diego,1,4.0,1971.0,3,San Diego,4,0,,0,,0,2.0,,,6800.0,2026-04
,0,0,1650000.0,33.974306,-118.399805,1559.0,C29 - Westchester,Los Angeles,0,0.0,1952.0,2,Los Angeles,3,1,1,1,3,0,0.0,Los Angeles Unified,29.45,6241.0,2026-04
,0,0,12500000.0,37.57891891,-122.36631447,4922.0,699 - Not Defined,San Mateo,1,2.0,2018.0,5,Hillsborough,5,1,,0,,0,2.0,Other,,21961.0,2026-04
Wood,0,0,3235000.0,37.2774083,-121.89705169,2634.0,699 - Not Defined,Santa Clara,1,2.0,1965.0,3,San Jose,4,1,,0,,0,2.0,San Jose Unified,,11020.0,2026-04
,0,0,2550000.0,32.68649310000001,-117.1701811,804.0,92118 - Coronado,San Diego,0,2.0,1944.0,1,Coronado,2,0,1,1,,0,0.0,,,,2026-04
"Carpet,Laminate",0,0,775000.0,37.34907048,-121.83267221,816.0,699 - Not Defined,Santa Clara,1,1.0,1958.0,1,San Jose,3,0,,0,,0,1.0,Other,,5400.0,2026-04
,0,0,1300000.0,37.37935798,-121.82225195,1780.0,699 - Not Defined,Santa Clara,1,2.0,1936.0,2,San Jose,3,1,,0,,0,2.0,Other,,10080.0,2026-04
Wood,0,0,1720000.0,34.157053000000005,-118.478136,1804.0,ENC - Encino,Los Angeles,0,0.0,1951.0,3,Encino,3,1,1,1,,0,,,,9152.0,2026-04
,0,0,754000.0,34.089459000000005,-118.164343,1253.0,621 - El Sereno,Los Angeles,0,0.0,1931.0,1,Los Angeles,2,1,2,2,2,0,0.0,Los Angeles Unified,0.0,5163.0,2026-04
SeeRemarks,0,0,190000.0,37.95596949,-121.22842635,1294.0,,San Joaquin,0,2.0,1979.0,2,Stockton,3,1,1,1,,0,2.0,,,8004.0,2026-04
Wood,0,0,1050260.0,34.170738,-118.429826,1160.0,SO - Sherman Oaks,Los Angeles,0,0.0,1940.0,1,Sherman Oaks,2,1,1,1,,0,,,,6757.0,2026-04
,0,0,1400000.0,33.808584,-118.131715,1835.0,"32 - Stratford Square, University",Los Angeles,1,2.0,1961.0,2,Long Beach,5,0,1,1,5,0,2.0,Long Beach Unified,0.0,6015.0,2026-04
Laminate,0,0,899000.0,33.96345,-118.324653,1984.0,101 - North Inglewood,Los Angeles,0,2.0,1939.0,3,Inglewood,4,1,1,1,,0,,,,6780.0,2026-04
,0,0,1140000.0,37.48259797,-122.13343123,1907.0,699 - Not Defined,San Mateo,0,0.0,1953.0,2,East Palo Alto,6,1,,0,,0,0.0,Other,,11328.0,2026-04
,0,0,1150000.0,32.759588,-117.044631,1890.0,91942 - La Mesa,San Diego,0,4.0,1948.0,4,La Mesa,4,0,1,1,,0,0.0,La Mesa-Spring Valley,0.0,7200.0,2026-04
"Stone,Wood",1,1,10556000.0,34.100056,-118.40358,10359.0,C02 - Beverly Hills Post Office,Los Angeles,1,6.0,2022.0,9,Beverly Hills,5,1,,0,,0,3.0,,,21423.0,2026-04
"Carpet,Tile,Vinyl",1,0,1549000.0,33.453018,-117.649673,2391.0,SN - San Clemente North,Orange,1,4.0,1981.0,3,San Clemente,3,1,2,2,0,0,2.0,Capistrano Unified,115.0,6300.0,2026-04
,1,0,870000.0,34.153981,-118.22317,1545.0,626 - Glendale-Northwest,Los Angeles,1,2.0,1962.0,2,Glendale,3,0,,0,,0,2.0,,,4054.0,2026-04
,0,0,4280000.0,37.37049851,-122.09839454,1501.0,699 - Not Defined,Santa Clara,0,0.0,1947.0,2,Los Altos,3,1,,0,,0,0.0,Other,,10800.0,2026-04
,0,0,4210000.0,34.055475,-118.405262,3250.0,C09 - Beverlywood Vicinity,Los Angeles,0,0.0,1946.0,5,Los Angeles,5,0,2,2,,0,,,,6128.0,2026-04
