CountyOrParish,n,mape,mdape,median_price
San Bernardino,1164,0.10018780345011266,0.0689168906885712,555000.0
Solano,45,0.10050381317586006,0.07084651995449331,548500.0
Orange,1157,0.10616713677006334,0.08220522381156455,1460000.0
San Joaquin,68,0.10654891014668305,0.0789325354020516,658500.0
Riverside,1783,0.10951839029878589,0.07205573836367064,639000.0
Merced,105,0.11223021733140566,0.07388473023273641,420000.0
Ventura,411,0.11393129365218661,0.08237625470003031,1025000.0
Contra Costa,595,0.11672402358714075,0.08853156817375606,959000.0
San Diego,1306,0.12117243910504735,0.08699895671816259,1085000.0
Butte,158,0.1299024422648799,0.10149065339141305,459000.0
Los Angeles,2906,0.13144066296757798,0.09650216735459885,1050000.0
Santa Clara,407,0.1349476525956779,0.09933366816691638,1960000.0
Kern,123,0.14121492729798785,0.12467688593642545,400000.0
Alameda,611,0.14312611277878476,0.09642422630253816,1400000.0
San Luis Obispo,203,0.15041412815576685,0.10461615894469153,995000.0
San Mateo,173,0.15351758982743505,0.1244920421710901,2100000.0
Fresno,54,0.15607821168629551,0.09906940213805429,483887.5
Monterey,147,0.15747341467804482,0.11778197998092144,975000.0
Santa Barbara,79,0.17193339190168372,0.11796826985641616,755000.0
Santa Cruz,83,0.2071623331915374,0.1572142930880081,1199888.0
Lake,46,0.23138198955928788,0.1951585499674661,365000.0
