,importance_share
City,0.13527777777777777
Latitude,0.11501984126984127
Longitude,0.1123611111111111
LivingArea,0.10149801587301588
LotSizeSquareFeet,0.09362103174603174
MLSAreaMajor,0.08774801587301587
YearBuilt,0.08603174603174603
HighSchoolDistrict,0.03862103174603174
AssociationFee,0.0368452380952381
Flooring,0.03517857142857143
CountyOrParish,0.03398809523809524
BathroomsTotalInteger,0.02738095238095238
ParkingTotal,0.021488095238095237
BedroomsTotal,0.017996031746031746
Levels,0.012281746031746033
GarageSpaces,0.01125
MainLevelBedrooms,0.008432539682539682
AttachedGarageYN,0.0059722222222222225
FireplaceYN,0.005158730158730159
Stories,0.005009920634920635
ViewYN,0.0041964285714285714
PoolPrivateYN,0.0037103174603174602
NewConstructionYN,0.0009325396825396826
