model,price_band,n_rows,r2,mae,mape,mdape
LinearRegression,overall,11908,0.8217526087739391,248664.1209681903,0.2269368278737788,0.16087661912904533
DecisionTree,overall,11908,0.7740679487824171,231738.9627191804,0.16944760245983234,0.11236275037180016
RandomForest,overall,11908,0.8773033834821509,169443.6782005891,0.12231512670355738,0.07873250745912634
XGBoost,overall,11908,0.8633567377798332,203261.33184098924,0.16270682214919316,0.11599436195587359
LightGBM,overall,11908,0.89329920780515,166210.376255299,0.12463324967498032,0.08817573417915822
LinearRegression,Q1,2408,,155997.69010062516,0.37420596662788,0.2948325797852344
LinearRegression,Q2,2385,,161923.79242093896,0.23378542104763983,0.18217080369216115
LinearRegression,Q3,2352,,175335.25192897551,0.18634239726445037,0.13524850448041092
LinearRegression,Q4,2384,,224214.74131178166,0.16540846730356384,0.12130684331317439
LinearRegression,Q5,2379,,526416.6515253163,0.17279800128823813,0.13764712595899886
DecisionTree,Q1,2408,,72978.5497923588,0.17487671257043857,0.09957088881422668
DecisionTree,Q2,2385,,92938.99459538785,0.13338760109437567,0.08527131782945736
DecisionTree,Q3,2352,,144261.62015306123,0.15156441926301442,0.10232675868609584
DecisionTree,Q4,2384,,236627.7476719799,0.17368048624792096,0.12654320987654322
DecisionTree,Q5,2379,,613170.1710802858,0.2135416999959343,0.15789473684210525
RandomForest,Q1,2408,,55121.91907023206,0.13513762295279264,0.06732383128798505
RandomForest,Q2,2385,,65923.38672726894,0.09467448709206608,0.059105075757575724
RandomForest,Q3,2352,,98171.70570115301,0.10374424637863103,0.06910367680397483
RandomForest,Q4,2384,,167030.49246356267,0.12244261314080628,0.09072682548780488
RandomForest,Q5,2379,,461821.73842148564,0.15527903480068797,0.12034411720704082
XGBoost,Q1,2408,,89304.19737333887,0.2170236037978446,0.1358565656366943
XGBoost,Q2,2385,,97813.20376048218,0.14073479507217299,0.09629932432432432
XGBoost,Q3,2352,,131449.5842926233,0.13920484234574187,0.1012410276475455
XGBoost,Q4,2384,,198189.89754614094,0.1452088308601916,0.11500810845534254
XGBoost,Q5,2379,,500400.5058060109,0.17052537704597234,0.14268264285714286
LightGBM,Q1,2408,,59847.77408728106,0.14750968661727812,0.08623717497012409
LightGBM,Q2,2385,,69257.89794648557,0.09941157291114176,0.07011968664531094
LightGBM,Q3,2352,,99862.24917196673,0.10532894797374898,0.07661408302349393
LightGBM,Q4,2384,,169137.4873323999,0.1237210529684331,0.09689222751734973
LightGBM,Q5,2379,,433728.39596076176,0.14676256177014899,0.11562324199213407
