feature,importance,rank,is_new_m5_feature
LivingArea,9977,1,False
LotSizeSquareFeet,9531,2,False
DistanceToNearestMajorCenter,8201,3,True
ZipMedianPricePerSqft,7268,4,True
Latitude,6203,5,False
Longitude,6107,6,False
City,5494,7,False
MLSAreaMajor,5413,8,False
YearBuilt,5270,9,False
Flooring,4355,10,False
SchoolDistrictJoined,4144,11,False
AssociationFee,3446,12,False
PropertyAgeYears,3318,13,False
MonthsSinceStart,2709,14,True
CountyOrParish,2555,15,False
BedBathRatio,2500,16,False
BathroomsTotalInteger,2228,17,False
ParkingTotal,1828,18,False
SaleMonthSin,1606,19,True
SaleMonthCos,1597,20,True
BedroomsTotal,1442,21,False
GarageSpaces,1376,22,False
Levels,1232,23,False
AssociationFeeMissing,537,24,True
AttachedGarageYN,518,25,False
ViewYN,485,26,False
PoolPrivateYN,446,27,False
Stories,384,28,False
FireplaceYN,326,29,False
GarageSpacesMissing,204,30,True
NewConstructionYN,100,31,False
