train_through,test_month,n_train_months,n_train_rows,n_test_rows,r2,mae,mape,mdape
2024-06,2024-07,6,67780,13210,0.9049703201992841,144764.89849548863,0.11254296761366726,0.07642903709847078
2024-07,2024-08,7,80993,12265,0.9086730768832575,142539.73006437055,0.11392342462853225,0.07853306047128003
2024-08,2024-09,8,93254,10754,0.9165553860770049,136913.67350804975,0.11169778012346165,0.07876571232367799
2024-09,2024-10,9,104032,12207,0.9039565496984455,146874.7970691461,0.11273658128079334,0.08109414962755157
2024-10,2024-11,10,116222,10554,0.8941823481997985,145791.18075178607,0.11207698795948248,0.08032070209833532
2024-11,2024-12,11,126771,10483,0.8955325046396617,143260.68232928895,0.1150765444214709,0.07820327845847051
2024-12,2025-01,12,137242,8017,0.895915352926431,148029.58945542868,0.12068851428759572,0.08081116354433897
2025-01,2025-02,13,145279,8716,0.9198210044362485,148205.39240217704,0.1145656796256908,0.07888573038042812
2025-02,2025-03,14,154011,10473,0.908814636329473,144427.99072578188,0.11128311922853719,0.0782314016948256
2025-03,2025-04,15,164518,11724,0.9174752764952743,144019.42044519258,0.11316230230420568,0.07788519939016371
2025-04,2025-05,16,176250,11620,0.90957212123105,144693.8043783331,0.11409003384159565,0.07736040935897202
2025-05,2025-06,17,187873,11554,0.9149235591670526,147624.5940385114,0.1150691355612391,0.07798101039030517
2025-06,2025-07,18,199426,11958,0.9180378635844775,141848.1375652745,0.11547046418308414,0.07870423949869212
2025-07,2025-08,19,211388,11301,0.9018574890789,142563.76614182137,0.11649203696960714,0.07862023449765862
2025-08,2025-09,20,222712,11317,0.9084616741618445,139291.59749472857,0.11627733958293861,0.0801951227226556
2025-09,2025-10,21,234033,11866,0.9150541331462378,142162.8067945895,0.11486916399405442,0.08120173906160535
2025-10,2025-11,22,245912,9597,0.9078201966319016,142258.27512666024,0.11498988003395887,0.07990614288013145
2025-11,2025-12,23,255522,10293,0.9009362027254784,138780.545908971,0.11692757454704131,0.07954413938314046
2025-12,2026-01,24,265821,7360,0.9057568169338468,145029.1507349101,0.12278129138385048,0.08017657530040953
2026-01,2026-02,25,273181,8442,0.9048749910543088,149756.21078741745,0.12036454672801165,0.08227991307306742
2026-02,2026-03,26,281623,11015,0.9128284130710915,144134.42481844162,0.11465808433962361,0.08052255018616226
2026-03,2026-04,27,292638,11870,0.9097356385744911,151506.0427413739,0.11719480951408369,0.08060026269156793
2026-04,2026-05,28,304572,11876,0.9108823318347428,151765.6249259047,0.11528375040867414,0.07985465739774973
