model,band,n_rows,r2,mae,mape,mdape
LinearRegression,overall,11879,0.7921920004292083,274090.1211304691,0.2546090358964296,0.18272201842510963
DecisionTree,overall,11879,0.7937918664096288,226406.88895642167,0.16698857374456255,0.10984848484848485
RandomForest,overall,11879,0.8857555290483128,165362.60773794627,0.12344416643197915,0.08054081438840162
XGBoost,overall,11879,0.8918903536899564,167864.15507818418,0.12855892962595467,0.087639765625
LightGBM,overall,11879,0.900734152667881,158876.56492860592,0.12090121455613163,0.08248911286635655
LinearRegression,under $500K,1656,,171514.9184761126,0.46089506892134957,0.3564755686587011
LinearRegression,$500K-$1M,4952,,185501.95653798722,0.25653104070463134,0.19164548761868655
LinearRegression,$1M-$2M,3640,,257823.67716676006,0.18502664363686025,0.14286632933522386
LinearRegression,$2M+,1631,,683509.4851313794,0.19461668109897381,0.1711100682247575
DecisionTree,under $500K,1656,,69871.07991143317,0.19139694941631766,0.11039615846338535
DecisionTree,$500K-$1M,4952,,101218.05800282715,0.1364500839334957,0.0846056721056721
DecisionTree,$1M-$2M,3640,,250101.2257032967,0.17548372943763554,0.1274838794578234
DecisionTree,$2M+,1631,,712557.1065542612,0.21596709287956606,0.16819277108433736
RandomForest,under $500K,1656,,60079.29145762355,0.16782466228735926,0.0840297868259028
RandomForest,$500K-$1M,4952,,73164.8123882451,0.09869449352201579,0.06267889182724212
RandomForest,$1M-$2M,3640,,174895.483946784,0.12242402130047442,0.09147926210874444
RandomForest,$2M+,1631,,530913.180964044,0.15580444073750124,0.13046951034686716
XGBoost,under $500K,1656,,64304.36111111111,0.17685985995328457,0.09762797309027778
XGBoost,$500K-$1M,4952,,77349.44491493337,0.10444005147907583,0.06899019466851802
XGBoost,$1M-$2M,3640,,180955.39326304945,0.1273390826825961,0.09717912114608099
XGBoost,$2M+,1631,,518613.2394098712,0.15546916067139366,0.12893626984126985
LightGBM,under $500K,1656,,61353.10861683053,0.16926993962055228,0.09613829573102081
LightGBM,$500K-$1M,4952,,72235.48367050035,0.0973247929190445,0.06660104461286767
LightGBM,$1M-$2M,3640,,168453.3862170208,0.11845130636219975,0.08963076064248321
LightGBM,$2M+,1631,,499579.10849243694,0.14884082035998647,0.12275500963731026
